Run_Date,Strategic_Inventory_Value,Operational_Inventory_Value,Procurement_Requirement,Dead_Stock_Value,Slow_Moving_Value,Inventory_Turn_Risk,Digital_Twin_Readiness
2026-06-07,85663635.52,512406406.47,473115370.05,76283547.78,164178536.31,46.93,75.0
2026-06-07,85663635.52,512406406.47,473115370.05,76283547.78,164178536.31,46.93,75.0
