Inventory_Aging_Class,Count,Inventory_Value
Active,1252.0,546634840.58
Monitor,615.0,291125296.55
Slow Moving,741.0,96854009.74
Very Slow Moving,1023.0,171387926.05
Dead Stock,1704.0,112184455.22
Unknown,0.0,0.0
