PL_Code,Description,Inventory_Action,Normalized_Inventory_Value,Movement_Status,Source_Universe,Inventory_Value,Inventory_Domain,Business_Unit,Division,Depot,Snapshot_Date,Pipeline_Version
420423880012,Hand Crimping tool (1.5-10sq mm),Dispose,600.0,Dead Stock,Operational,600.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
420427150016,TERMINAL BOARD,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
420452370016,Supply of 1 KVA on line UPS with 120Mins Back Up. All the specficaytions should be matxch....,Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
429076285917,AIR CONDITIONER 02 TON CAPACITY SPLIT A C,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
429079217870,Axle counter VR BOX WITH RELAYS (Released),Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
429079380019,TENT 15X15,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
429081230017,battery charger,Rationalize,500.0,Slow Moving,Operational,500.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
429081239604,NICAD BATTERY CHARGER,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
429081582888,BATTERY STAND-WOODEN,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
430200022573,Digital Multimeter RIshab make (Model 18-S),Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
430200022573,Digital Multimeter RIshab make (Model 18-S),Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
430200022573,Digital Multimeter RIshab make (Model 18-S),Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
430200022573,Digital Multimeter RIshab make (Model 18-S),Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
