Inventory_Aging_Class,Count,Inventory_Value,Inventory_Domain,Business_Unit,Division,Depot,Snapshot_Date,Pipeline_Version
Active,275.0,159834163.7,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
Monitor,157.0,15863492.03,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
Slow Moving,201.0,20999368.33,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
Very Slow Moving,286.0,9147767.58,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
Dead Stock,436.0,3195259.56,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
Unknown,0.0,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
