Inventory_Value_Band,Count,Inventory_Value,Inventory_Domain,Business_Unit,Division,Depot,Snapshot_Date,Pipeline_Version
"< Rs 10,000",1003,628505.64,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
"Rs 10,000 - 1 Lakh",177,7133651.77,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
Rs 1 Lakh - 10 Lakh,133,43451850.38,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
Rs 10 Lakh - 1 Crore,41,134940996.52,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
>= Rs 1 Crore,1,22885046.89,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
