Action,Description,Count,Strategic_Inventory_Value,Operational_Inventory_Value,Priority,Inventory_Domain,Business_Unit,Division,Depot,Snapshot_Date,Pipeline_Version
Procure Immediately,Procure Immediately,39,1511731.32,20568936.04,1-Critical,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
Retain,Retain,230,0.0,63901486.9,5-Steady,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
Monitor,Monitor,24,4398023.6,59940.62,4-Low,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
Rationalize,Rationalize,248,0.0,11853756.86,3-Medium,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
Dispose,Dispose,254,0.0,3862175.85,2-High,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
