PL_Code,Description,Mean_Monthly_Demand,Std_Deviation,CV,XYZ_Class
56985800,ELECTRONIC FAIL SAFE TIMER 60 SECONDS,4.8846,19.6465,4.0221,Z
56986130,RELAY STYLE QBAT (2F-2B) AC TRACK,7.75,12.928,1.6681,Z
569894370025,Aluminium Boom 9.76 Mtrs for Lifting Barrier Gate,0.4444,0.9428,2.1213,Z
569894550039,"GLASS FUSE LINKS OF 400MA,1.6A,2A,4A,6.3A & 10A CAPACITY",7.5,25.1447,3.3526,Z
569894580184,PVC WIRE COIL SINGLE CORE COPPER SIZE 7/20,0.1852,0.8259,4.4596,Z
569900780080,FUSE terminal block with LED indication up to 2.5sq.mm screw type 1 IN 1 OUT,7.7941,34.8849,4.4758,Z
569901140024,Siemens AFTC Receiver -I Module (F11) B33-B11,0.0465,0.2131,4.5813,Z
569901140036,Siemens AFTC Tuning Unit - TX (F11) D13- B27,0.0476,0.3086,6.4807,Z
569902250020,SAFETY POINT ALARM UNIT,0.0,0.0,,N/A
569903410020,Earthenhancement compound. The materialshould conform to the requirements of IEC 62561-7. (Digging ....,44.4444,133.3333,3.0,Z
570100356570,Canon Mk-5000 Cable ID Printer along with standard accessories soft carry case black ink Ribbon (4....,0.7917,2.1865,2.7619,Z
570100421847,Station mastersblock panel for Single line-SSBPAC(D)as per RDSO/SPN/175/2005 or latest along with su....,0.0,0.0,,N/A
570100421859,Microprocessor based SSBPAC(D) for single line including wiring relay rack without Relays as per RDS....,0.0,0.0,,N/A
570102510586,Printer HP Make,0.0,0.0,,N/A
570104790136,UPS 5KVA CAPACITY,0.0588,0.2388,4.0602,Z
570109490283,Industrial Grade Embedded Fanless PC with all accessories,0.1613,0.4544,2.8171,Z
570109490386,Supply and installation of embedded PC with Dualmonitors - one of size 21.5 for SM to enter/acceptev....,3.6,10.6757,2.9655,Z
570109490520,Supply and Installation of e-TSR Central server (Rack Model) with Intel Xeon Silver 4309Y processor ....,0.0625,0.25,4.0,Z
570131650240,laptop Intel core i5 15.6 Inch Display with Back Pack case,0.0294,0.1715,5.831,Z
570131650305,"Intel Core I5 All in One PC with 23.8 Inch Display, Windows 11 Professional, DDR4 8GB RAM, 512 SSD, ....",0.25,1.0046,4.0185,Z
570140712828,"Intel Core I3 All in One PC with 23.8 Inch Display, Windows 11 Professional, DDR4 8GB RAM, 1024 SSD,....",0.2353,0.9701,4.1231,Z
570140713948,HP Intel Core i7 All-in-One PC with 23.8-inch display and Windows 11 Pro,0.2308,0.8321,3.6056,Z
570143970026,Laptop Backpack and Antivirus,0.0714,0.2673,3.7417,Z
570150950426,"Intel Core I3 All in One PC with 23.8 Inch Display, Windows 11 Professional, DDR4 8GB RAM, 512 SSD, ....",0.2083,1.0206,4.899,Z
609004430022,Sarees Handloom TC Blue,2.1667,13.0,6.0,Z
611600160147,Dr.Fixit Applicator Gun + Silicone Sealant (White/Clear/Black),14.2857,38.5495,2.6985,Z
623500140951,PVC Conduit Pipe 25mm dia (3 mtr long),315.7778,1578.2796,4.9981,Z
623500980059,DWC Pipe [Inner Dia 103.5mm & Outer Dia-120mm] WITH COUPLER FOR EVERY 6 MTRS,160.7037,388.4613,2.4173,Z
655701031889,Box type precision insulated Track gauge cum level (BG),0.8372,3.0855,3.6855,Z
657905100024,BIS listed semi automatic stainless steel preventive device with UL Approved clean gas with auto man....,0.0,0.0,,N/A
67900185,LEAD ACID STORAGE BATTERY FOR MOTOR VEHICLES 11 PLATES DRY UNCHARGED 12 VOLTS/75 AH CAPACITY AT 20 H....,0.1132,0.5771,5.0981,Z
71080326,BROOMS COCOA WELL CLEANED & DRIED FROM THE STEMS OF COCONUT LEAVES 20cms CIRCUMFERENCE AT ABOUT 10cm....,0.3,1.5682,5.2273,Z
71080545,"STREET BROOMS (Malar), PADAL MADE WITH BROOMSTICKS 68 cms to 70cms LONG WITH  THICK END  AT THE BOTT....",0.3,1.5682,5.2273,Z
72081181,"DRILL TWIST  H.S.S. STRAIGHT SHANK JOBBERS"" 7.2 MM TO IS: 5101/1969, 5099/1983.",7.4074,29.1506,3.9353,Z
721339354568,4 Pin Key with 3/8 Reversible Ratchet Handle,10.3571,12.0805,1.1664,Z
721437670023,Wrench Type Socket for Multi Point Truncated Conical Safety Nut Assembly,10.3571,12.0805,1.1664,Z
72207413,"DRILL TWIST H.S.S. STRAIGHT SHANK JOBBERS"" 7.2 MM TO IS: 5101/1969, 5099/1983.",98.451,124.3068,1.2626,Z
722434810027,Rail Drilling Machine with stand 230VAC/ 50HZ,0.1373,0.4481,3.2647,Z
725804740114,Single Piece Spring Inserted Reusable Seize nut of size (Size M-12) Lock Nut M-012 Specifications: M....,25.0,100.0,4.0,Z
725804740126,Single Piece Spring Inserted Reusable Seize nut of size (Size M-14) Lock Nut M-014 Specifications: M....,26.6667,103.2796,3.873,Z
725804740138,Single Piece Spring Inserted Reusable Seize nut of size (Size M-16) Lock Nut M-016 Specifications: M....,30.0,116.1895,3.873,Z
726001400138,NEPTUNE HANDHELD BRUSH CUTTER / LINE TRIMMER,0.0952,0.6172,6.4807,Z
726001400205,HANDHELD BRUSH CUTTER / LINE TRIMMER,0.5135,2.3169,4.5118,Z
727901719596,ELECTRICAL DRILLING MACHINE 110V/550W 13 MM SPEED DRILL,0.1132,0.4234,3.7398,Z
727925380052,INFRARED THERMAL IMAGINE CAMERA AS PER RDSO SPEC TI/SPC/OHE/TIPS/1031(10/2013),0.0333,0.1826,5.4772,Z
752082580126,Pallets (Recyclable Dummy),1.7647,7.2761,4.1231,Z
77035136,"PAINT READY MIXED OLIVE GREEN"" ISC-220 OF IS: 5/2007 BRUSHING, FINISHING, SEMI GLOSS FOR GENERAL PUR....",0.4878,3.1235,6.4031,Z
77091310,"PAINT READY MIXED RED OXIDE (ISC 446) BRUSHING, FINISHING, GLOSSY FOR GENERAL PURPOSES TO  RDSO SPEC....",2.6415,11.1201,4.2098,Z
77091607,PAINT READY MIXED BRUSHING FINISHING EXTERIOR SEMI GLOSS FOR GENERAL PURPOSE BLACK TO IS. 13607-92 I....,0.3774,2.7472,7.2801,Z
77093306,PAINT ALUMINIUM FOR GENERAL PURPOSE IN DUAL CONTAINER TO IS:2339/1963 (reaffirmed 2009) Amdt. No.4 o....,2.4,11.8769,4.9487,Z
77110304,"READY MIXED PAINT, BRUSHING BITUMINOUS BLACK LEAD FREE , ACID, ALKALI, WATER AND CHLORINE RESISTING ....",0.4878,3.1235,6.4031,Z
771600011349,"Pidilite WD-40, Multiple Maintenance Spray - 420 ml (341g)",3.5714,10.3308,2.8926,Z
78010512,"GLASS TUMBLER 260 ML CAPACITY WITH IR"" TOTEM OF RDSO SKETCH 68060 ALT.2.",0.44,2.1774,4.9487,Z
781520833527,BOOK SHELF OF SIZES WOODEN MADE,0.0588,0.2425,4.1231,Z
783100870033,"COMPUTER TABLE, MAKE GODREJ, MODEL C-11",0.2222,0.7689,3.46,Z
787900195071,Godrej Chair Model PCH-5D02R,0.037,0.1906,5.1469,Z
787902055227,Kent RO Fully automatic with auto cut off UV+UF Potable Water Purification System,0.6905,2.6913,3.8978,Z
789900328123,Office executive table Size 150X90X67 cm Right side - 03 Drawers & Left side one drawer,0.0588,0.2425,4.1231,Z
79010805,"DUNGRI CLOTH, COTTON KHADI, BLUE 91 CM WIDE TO SPEC.NO.IS:3778 / 1993 WITH AMENDMENT No.1, MARCH 200....",1.0784,5.4142,5.0205,Z
79010866,"DUNGRY CLOTH COTTON KHADI BLEACHED TO IS: 3778-1993,AMENDMENT-1 IN A PIECE LENGTH OF 10 TO 20 METERS....",0.098,0.7001,7.1414,Z
790400130034,Blouse Handloom Light Blue,2.8889,17.3333,6.0,Z
79045558,"Saree Handloom Light Blue length-5.5 mtr. Width-1.2 mtr. to IS No. 748/90 variety No.-9, with blouse....",0.2222,1.3333,6.0,Z
79046850,Cut piece length 14S Shirt Grey (T.C) Basic Cloth(IS- 15852/2009 Width 90 cms) width 90 Cms and Scal....,40.4722,211.355,5.2222,Z
79247957,TROUSER GREY Bit TC 1.2 Mtr,23.7778,121.7909,5.122,Z
79315604,"INDUSTRIAL SAFETY FOOTWEAR CONFIRMING TO IS: 15298 PART 2, 2002 TO CLASSIFICATION I, DESIGN 'A' FOR ....",31.7547,103.7337,3.2667,Z
