PL_Code,Description,Business_Unit,Criticality,Criticality_Name,ABC_Class,Forecast_Method,Forecastability_Class,Forecast_2026_27,Current_Stock,Strategic_Stock,Operational_Stock,Lead_Time_Months,Pending_Supply,Unit_Cost,Inventory_Value,Supplier_Info,Procurement_History
560405150136,WIDE BLANK FRONT PANEL ASSEMBLY,MAS,,,,No Forecast,,,,,,,,,,Yes,Yes
560405582322,Coupler for CEL MSDAC,MAS,,,,No Forecast,,,,,,,,,,Yes,Yes
560406180252,MSDAC Spare- Siemens Make Surge Protection Filter for Indoor Equipment,MAS,,,,SBA,Very Low,19.0,,,,,,,,Yes,Yes
560406180264,MSDAC Spare- Siemens Make process connector,MAS,,,,SBA,Very Low,36.1,,,,,,,,Yes,Yes
560406180276,MSDAC Spare- Siemens Make Scalance switch as per RDSO SPEC: RDSO/SPN/176/2013 Version 3.0,MAS,,,,SBA,Very Low,32.3,,,,,,,,Yes,Yes
560406200056,VESBA Card for MSDAC Siemens make as per RDSO Spec No. RDSO/SPN/176/2013 Ver 3.0 or latest,MAS,,,,SBA,Very Low,8.3692,,,,,,,,Yes,Yes
560406420020,PD 1 (PHASE DETECTOR) (G.G. TRONICS MAKE ),MAS,,,,TSB,Very Low,0.3407,,,,,,,,,
560406430025,PD-2 Card for SSDAC (G.G.Tronics Make),MAS,,,,TSB,Very Low,0.3407,,,,,,,,,
560406470047,Generator Module for MSDAC Siemens make as per RDSO Spec No. RDSO/SPN/176/2013 Ver 3.0 or latest,MAS,,,,SBA,Very Low,16.4404,,,,,,,,Yes,Yes
560406490058,VAU Card for MSDAC Siemens make as per RDSO Spec No. RDSO/SPN/176/2013 Ver 3.0 or latest,MAS,,,,SBA,Very Low,10.317,,,,,,,,Yes,Yes
560406520026,SIEMENS AFTC FTGS 46M COMPLET SET,MAS,,,,SBA,Very Low,3.8024,,,,,,,,,
560406900054,Siemens AFTC Filter Module(F12) B42-B12,MAS,,,,SBA,Very Low,1.2214,,,,,,,,,
560406910072,Siemens AFTC Filter Module(F9) B42-B9,MAS,,,,SBA,Very Low,1.2214,,,,,,,,,
560406910084,Siemens AFTC Filter Module(F10) B42-B10,MAS,,,,SBA,Very Low,2.85,,,,,,,,,
560406910096,SIEMENS AFTC FTGS 46ST COMPLET SET,MAS,,,,SBA,Very Low,2.6328,,,,,,,,Yes,Yes
560406920041,Siemens AFTC Filter Module(F11) B42-B11,MAS,,,,SBA,Very Low,1.6286,,,,,,,,,
560407090064,Event Logger Card for CEL MAKE HASSDAC as per RDSO Specification No. RDSO/SPN/177/2012 with version ....,MAS,,,,SBA,Very Low,4.1455,,,,,,,,Yes,Yes
560407690031,Interface card for Reset Box for HASSDAC Motherboard for CEL MAKE HASSDAC as per RDSO Specification ....,MAS,,,,SBA,Very Low,14.5667,,,,,,,,Yes,Yes
560408420497,FRAUSCHER make MSDAC Wheel sensor with 10-meter cable RSR 180-001 (Version-GS05 Part no.23529 as per....,MAS,,,,SBA,Low,48.5931,,,,,,,,Yes,Yes
560408420527,"Tool set for wheel sensor mounting and maintenance consisting of torque wrench, Ratchet, Testing p....",MAS,,,,No Forecast,,,,,,,,,,,
560408420620,FRAUSCHER make MSDAC Wheel sensor with 5-meter cable RSR 180-001- GS05 Part no.23320,MAS,,,,No Forecast,,,,,,,,,,Yes,Yes
560408420631,FRAUSCHER make MSDAC Wheel sensor with 15-meter cable RSR 180-001 -GS05 Part no.23531,MAS,,,,No Forecast,,,,,,,,,,Yes,Yes
