PL_Code,In_DMTR,In_Operational,In_Strategic,In_Criticality,Universe_Status
508311040065,0,1,0,0,Inventory_Only
508311720090,0,1,0,0,Inventory_Only
508312590024,0,1,0,0,Inventory_Only
508313220095,0,1,0,0,Inventory_Only
508313320053,0,1,0,0,Inventory_Only
508313550058,0,1,0,0,Inventory_Only
508500010799,1,0,0,0,Demand_Only
508500260020,0,1,0,0,Inventory_Only
508500690051,1,0,0,0,Demand_Only
508501090018,1,0,0,0,Demand_Only
508501360022,0,1,0,0,Inventory_Only
508502470029,1,0,0,0,Demand_Only
508503310060,1,0,0,0,Demand_Only
508503570895,1,0,0,0,Demand_Only
509000146221,0,1,0,0,Inventory_Only
509000146233,0,1,0,0,Inventory_Only
509000150169,0,1,0,0,Inventory_Only
509000166232,0,1,0,0,Inventory_Only
509000218050,0,1,0,0,Inventory_Only
509000229606,0,1,0,0,Inventory_Only
509000286237,0,1,0,0,Inventory_Only
509000349855,0,1,0,0,Inventory_Only
509000355880,0,1,0,0,Inventory_Only
509000355909,0,1,0,0,Inventory_Only
509000355910,0,1,0,0,Inventory_Only
509000396559,1,0,0,0,Demand_Only
509000404337,0,1,0,0,Inventory_Only
509000404404,0,1,0,0,Inventory_Only
509000405457,1,0,0,0,Demand_Only
509000422789,0,1,0,0,Inventory_Only
509000506870,0,1,0,0,Inventory_Only
509004730016,1,0,0,0,Demand_Only
509006510032,0,1,0,0,Inventory_Only
509009700026,0,1,0,0,Inventory_Only
509009700038,0,1,0,0,Inventory_Only
509010050044,0,1,0,0,Inventory_Only
509010050056,0,1,0,0,Inventory_Only
50901126,0,0,0,1,Criticality_Only
509040374230,0,1,0,0,Inventory_Only
509040475288,0,1,0,0,Inventory_Only
509040546672,0,1,0,0,Inventory_Only
509041036045,0,1,0,0,Inventory_Only
509041067327,0,1,0,0,Inventory_Only
509041390412,0,1,0,0,Inventory_Only
509041760069,0,1,0,0,Inventory_Only
509042120027,0,1,0,0,Inventory_Only
509042120039,0,1,0,0,Inventory_Only
509042510220,0,1,0,0,Inventory_Only
509044610034,0,1,0,0,Inventory_Only
509048210051,0,1,0,0,Inventory_Only
509051280160,1,0,0,0,Demand_Only
509051570101,0,1,0,0,Inventory_Only
520500401633,0,1,0,0,Inventory_Only
520500451223,0,1,0,0,Inventory_Only
520500451430,0,1,0,0,Inventory_Only
520500451508,0,1,0,0,Inventory_Only
520501510910,0,1,0,0,Inventory_Only
520502200035,0,1,0,0,Inventory_Only
520502281606,0,1,0,0,Inventory_Only
520504030030,0,1,0,0,Inventory_Only
