PL_Code,Description,Months_Observed,Total_Issues,Average_Monthly_Demand,Std_Deviation,CV
78010512,"GLASS TUMBLER 260 ML CAPACITY WITH IR"" TOTEM OF RDSO SKETCH 68060 ALT.2.",50,22.0,0.44,2.1774,4.9487
781520833527,BOOK SHELF OF SIZES WOODEN MADE,17,1.0,0.0588,0.2425,4.1231
783100870033,"COMPUTER TABLE, MAKE GODREJ, MODEL C-11",54,12.0,0.2222,0.7689,3.46
787900195071,Godrej Chair Model PCH-5D02R,54,2.0,0.037,0.1906,5.1469
787902055227,Kent RO Fully automatic with auto cut off UV+UF Potable Water Purification System,42,29.0,0.6905,2.6913,3.8978
789900328123,Office executive table Size 150X90X67 cm Right side - 03 Drawers & Left side one drawer,17,1.0,0.0588,0.2425,4.1231
79010805,"DUNGRI CLOTH, COTTON KHADI, BLUE 91 CM WIDE TO SPEC.NO.IS:3778 / 1993 WITH AMENDMENT No.1, MARCH 200....",51,55.0,1.0784,5.4142,5.0205
79010866,"DUNGRY CLOTH COTTON KHADI BLEACHED TO IS: 3778-1993,AMENDMENT-1 IN A PIECE LENGTH OF 10 TO 20 METERS....",51,5.0,0.098,0.7001,7.1414
790400130034,Blouse Handloom Light Blue,36,104.0,2.8889,17.3333,6.0
79045558,"Saree Handloom Light Blue length-5.5 mtr. Width-1.2 mtr. to IS No. 748/90 variety No.-9, with blouse....",36,8.0,0.2222,1.3333,6.0
79046850,Cut piece length 14S Shirt Grey (T.C) Basic Cloth(IS- 15852/2009 Width 90 cms) width 90 Cms and Scal....,36,1457.0,40.4722,211.355,5.2222
79247957,TROUSER GREY Bit TC 1.2 Mtr,36,856.0,23.7778,121.7909,5.122
79315604,"INDUSTRIAL SAFETY FOOTWEAR CONFIRMING TO IS: 15298 PART 2, 2002 TO CLASSIFICATION I, DESIGN 'A' FOR ....",53,1683.0,31.7547,103.7337,3.2667
79333485,"DUSTERS  COTTON KHADI  61 cms  x 61cms  SPECN: DUSTERS CLOTH COTTON KHADI BLEACHED  TO IS.3777/1994,....",51,24.0,0.4706,2.361,5.017
79338677,HONEY COMB TOWELS WHITE BLEACHED IS.854/91 VARIETY NO 3 OR IS.859/79 VARIETY NO 2 IN SIZE 152 X 81 C....,50,3.0,0.06,0.4243,7.0711
79339293,COTTON TURKISH TOWEL HANDLOOM WHITE SIZE 122X61 CMS TO IS:854/1991 OR LATEST. VARIETY NO.4 OR LATEST....,8,0.0,0.0,0.0,
795100540055,ELECTRICAL SAFETY SHOES,17,1172.0,68.9412,275.2613,3.9927
79511843,WASTE COTTON WHITE UNTEASED  TO IS. 6612/79 OR LATEST.,12,0.0,0.0,0.0,
795900190130,JUNGLE HAT,21,1304.0,62.0952,250.3002,4.0309
80010714,AXLE OIL MEDIUM TO IS:1628/1986.,26,2.1,0.0808,0.3364,4.165
80090722,MINERAL JELLY FOR PROTECTING IRON & STEEL ARTICLES FROM RUST TO DGS&D SPECN. G/0-101/86.,15,20.0,1.3333,5.164,3.873
81033515,NAPTHALENE WHITE BALLS PACKED IN POLYTHENE BAGS TO CONTAIN 250 GRAMS TO SPECN.539/1965 OR LATEST.,50,8.5,0.17,0.8182,4.8131
81050264,DETERGENT BAR 250 GMS TO BRAND  RIN/HENKO/TIDE  AS IN ORIGINAL PACKING,50,36.0,0.72,3.9125,5.434
81050999,TOILET SOAP-TO BE SUPPLIED IN THE FORM OF SMOOTH CAKES OF MINIMUM 100 GRAMS EACH SECURELY PACKED. AC....,50,48.0,0.96,4.7679,4.9666
