Candidate_Field,Coverage_Pct,Distinct_Values,Min,Max,Median,Associated_PL_Coverage_Pct
Average Rate (Rs.) [unit cost],100.0,820,0.95,6826248.0,13457.0,100.0
Value (Rs.) [stock value],45.9,479,71.2,26666508.0,140000.0,45.9
