PL_Code,Description,Business_Unit,Criticality_Class,Forecast_Method,Forecast_Annual,Forecast_Monthly,Lead_Time_Days,Demand_During_LT,Safety_Stock,ROP,Current_Stock,Reorder_Gap,Stock_Status
77110304,"READY MIXED PAINT, BRUSHING BITUMINOUS BLACK LEAD FREE , ACID, ALKALI, WATER AND CHLORINE RESISTING ....",MAS,Non-Critical,SBA,38.0,3.167,6.0,0.62,1.44,2.06,0.0,2.06,Critical Shortage
565198460089,Static Switch Module( Auto C/O Inv- CVT) Module for M/S Statcon make IPS system as per RDSO Spec No....,MAS,Critical,SBA,2.28,0.19,169.0,1.05,0.85,1.9,2.0,-0.1,Healthy
567917930020,Power Supply arrangement for Electronic Interlocking System at station Consisting of 16 Nos DC-DC Co....,MAS,Critical,SBA,11.4,0.95,48.0,1.5,0.38,1.88,0.0,1.88,Critical Shortage
570131650240,laptop Intel core i5 15.6 Inch Display with Back Pack case,MAS,Non-Critical,SBA,11.4,0.95,52.0,1.62,0.23,1.85,0.0,1.85,Critical Shortage
539814380288,"Operator VDU console consists of Industrial grade embedded fanless PC with 55 monitor (LED type, 4k ....",MAS,Non-Critical,SBA,9.65,0.804,49.5,1.31,0.5,1.81,0.0,1.81,Critical Shortage
539875640092,Datalogger with 512 Digital input and 32 Analog input as per  RDSO specification no.IRS:S-99/2006 Am....,MAS,Critical,SBA,3.85,0.321,74.0,0.78,1.0,1.78,1.0,0.78,Shortage
549005641775,RDSO Boom Assembly 9.76 Mtrs for Electrical operated lifting Barrier gate (octagonal Type),MAS,Non-Critical,SBA,41.1,3.425,6.0,0.68,1.09,1.77,0.0,1.77,Critical Shortage
559003640081,High availability Single Section Digital Axle counter [HASSDAC] of complete set with dual senser as ....,MAS,Critical,SBA,8.84,0.737,35.0,0.85,0.9,1.75,0.0,1.75,Critical Shortage
56163034,"VOLTAGE  STABILIZERS 3 KVA / 230 V SINGLE PHASE, SHELF MOUNTING, STATIC, FERRO RESONANT TYPE, STABIL....",MAS,Critical,SBA,12.45,1.037,21.0,0.72,1.02,1.74,0.0,1.74,Critical Shortage
567908369072,Operating Tool Screw Driver and Stripper,MAS,Non-Critical,SBA,11.4,0.95,48.0,1.5,0.24,1.74,0.0,1.74,Critical Shortage
727925380052,INFRARED THERMAL IMAGINE CAMERA AS PER RDSO SPEC TI/SPC/OHE/TIPS/1031(10/2013),MAS,Non-Critical,SBA,11.4,0.95,46.0,1.44,0.23,1.67,0.0,1.67,Critical Shortage
