PL_Code,Description,Criticality_Class,Forecast_Annual,Lead_Time_Days,Current_Stock,ROP,Positive_Gap,SRRS,SRRS_Rank,Average_Rate_Rs,Reorder_Gap_Value_Rs,Value_Rank
545401070037,FIT & FORGET LEAD WIRE 2 MTRS 4MM DIA,Non-Critical,933.02,1.0,0.0,34.03,34.03,34.03,363,424.25,14437.23,468
570131650305,"Intel Core I5 All in One PC with 23.8 Inch Display, Windows 11 Professional, DDR4 8GB RAM, 512 SSD, ....",Non-Critical,38.27,293.0,0.0,33.93,33.93,33.93,364,83548.0,2834783.64,91
565094826808,Steel Ratchet Type Torque Wrench make Stanley,Non-Critical,80.56,120.0,0.0,32.32,32.32,32.32,365,6580.0,212665.6,325
56500350,BATTERY CHARGER 110V AC 24V DC 30 AMPS TO SPECN.IRS-S-86/2000.WITH AMENDMENT-4 or latest.,Critical,3.34,82.5,0.0,1.61,1.61,32.2,366,38529.62,62032.69,403
56500452,BATTERY CHARGER 230V AC 110V DC 30 AMPS SPECN.No.IRS-S-86/2000 WITH AMENDMENT - 4. OR LATEST.,Critical,16.26,20.0,0.0,1.58,1.58,31.6,367,61419.0,97042.02,383
539883712230,Kyosan L-K6DM Subrack with Mother Board,Critical,2.85,131.0,1.0,2.55,1.55,31.0,368,550788.0,853721.4,192
539892130229,Tool Kit for installation and Maintenance of MSDAC as per OEM requirement comprising of   2) True RM....,Non-Critical,22.8,461.0,0.0,30.46,30.46,30.46,369,44476.0,1354738.96,154
560611710036,LED 3mm with Assembly for Panel,Non-Critical,2280.0,2.0,0.0,29.28,29.28,29.28,370,95.0,2781.6,491
539809943549,Battery cable 16 Sq.mm Red Cable: 10Mtrs Length Cable with Lugs on both sides and 16 Sq.mm Black Cab....,Non-Critical,81.35,105.0,0.0,28.85,28.85,28.85,371,8000.4,230811.54,317
565000077252,Galvanized stop board for ES Boom & EOLB Gate(with clamp),Non-Critical,131.72,50.0,0.0,28.4,28.4,28.4,372,1629.0,46263.6,422
560412050036,Analog Card without controller suitable for Efftronics make RTU as per Spec: IRS: S-99/2006 (Amdt-3),Critical,15.3,57.0,3.0,4.39,1.39,27.8,373,23600.0,32804.0,442
539810200190,FIT & FORGET BOND WIRE 3 MTRS 4MM DIA,Non-Critical,259.45,3.0,0.0,27.72,27.72,27.72,374,391.0,10838.52,473
539836000040,Retro Reflective G Marker,Non-Critical,45.88,124.0,5.0,32.26,27.26,27.26,375,1126.0,30694.76,444
539836631014,Metravi 4 digit Backlit LCD Hand Held True Rms Clamp Meter,Non-Critical,16.27,39.0,0.0,26.62,26.62,26.62,376,6900.0,183678.0,338
560601181638,Microlok -II Central Processing Unit PCB Ansaldo Make,Critical,2.96,193.0,2.0,3.33,1.33,26.6,377,320250.0,425932.5,260
79333485,"DUSTERS  COTTON KHADI  61 cms  x 61cms  SPECN: DUSTERS CLOTH COTTON KHADI BLEACHED  TO IS.3777/1994,....",Non-Critical,28.61,245.0,0.0,26.13,26.13,26.13,378,78.74,2057.48,493
79338677,HONEY COMB TOWELS WHITE BLEACHED IS.854/91 VARIETY NO 3 OR IS.859/79 VARIETY NO 2 IN SIZE 152 X 81 C....,Non-Critical,34.2,263.5,0.0,25.96,25.96,25.96,379,69.76,1810.97,495
570100356570,Canon Mk-5000 Cable ID Printer along with standard accessories soft carry case black ink Ribbon (4....,Non-Critical,54.85,135.0,0.0,25.04,25.04,25.04,380,85000.0,2128400.0,106
430200021910,Digital Multimeter make Rishabh Model 14S,Non-Critical,12.44,668.0,0.0,24.91,24.91,24.91,381,4500.0,112095.0,376
567913080110,"110V DC/230V AC,  2 KVA Inverter  with Transformer module suitable for Statcon IPS  with all fittin....",Non-Critical,22.31,368.0,1.0,25.67,24.67,24.67,382,103000.0,2541010.0,96
565094828647,Special Spanner for maintenance of Electrical Point Machine Ground Connection,Non-Critical,8.56,160.5,0.0,24.41,24.41,24.41,383,258.0,6297.78,483
565094804436,"Power supply system involving SMPS charger working on 110v AC, of reputed make and 12V SMF cells wit....",Non-Critical,32.51,83.0,0.0,24.23,24.23,24.23,384,18200.0,440986.0,253
562200010272,"Ground type shunt signal complete with surface base, signal pole, hood etc",Critical,11.44,82.0,4.0,6.38,2.38,23.8,385,6551.09,15591.59,465
539814382170,Commercial Grade Operator VDU of Size 55 inch- Full HD,Non-Critical,46.95,147.0,0.0,23.6,23.6,23.6,386,184781.0,4360831.6,63
560601365210,CABLE TERMINATION RACK 500 CAPACITY,Critical,0.83,238.5,0.0,2.2,2.2,22.0,387,44560.0,98032.0,381
570150950426,"Intel Core I3 All in One PC with 23.8 Inch Display, Windows 11 Professional, DDR4 8GB RAM, 512 SSD, ....",Non-Critical,57.0,126.0,0.0,21.81,21.81,21.81,388,68310.0,1489841.1,139
431002240078,Ultrasonic thickness Gauge with LCD Digital display along with all accessories,Non-Critical,11.4,646.0,0.0,21.39,21.39,21.39,389,18804.5,402228.26,268
539834880035,"Alstom S"" Bond 28 Mtrs Long",Critical,2.58,618.0,17.0,19.08,2.08,20.8,390,25843.2,53753.86,413
559003640135,Auto Reset Card for CEL MAKE HASSDAC as per RDSO Specification No. RDSO/SPN/177/2012 with version 3 ....,Critical,9.71,61.0,3.0,4.04,1.04,20.8,391,19234.0,20003.36,457
539847770031,SC TYPE Rack/Wall mountable 24F Fibre management system (FMS) confirming to RDSO/SPN/TC/37/2020 Revi....,Non-Critical,5.21,385.5,0.0,20.15,20.15,20.15,392,7840.0,157976.0,351
555400960023,Colour light signal unit Three Aspect (FRP),Non-Critical,57.0,99.0,0.0,20.12,20.12,20.12,393,29838.0,600340.56,230
539805721194,Junction Type Route Indicator Unit 2 Way (FRP),Non-Critical,57.0,99.0,0.0,20.12,20.12,20.12,394,39040.29,785490.63,202
539805736252,Junction Type Route Indicator Unit 3 Way (FRP),Non-Critical,57.0,99.0,0.0,20.12,20.12,20.12,395,45172.97,908880.16,186
561620290801,Battery charger 230V AC/110 V DC/40 AMPS as per RDSO specification IRS:S-93/96 (B) with Amd 1 orlate....,Critical,0.47,6.0,0.0,1.0,1.0,20.0,396,89680.0,89680.0,386
508503310060,Metravi Hand Held Digital Multimeter,Non-Critical,34.2,182.0,0.0,18.29,18.29,18.29,397,3899.0,71312.71,397
539882000027,Silane siloxine Alithatic Urethane resin Blend solvent Based high technology Membrane Radiant Heat r....,Non-Critical,6.36,92.0,0.0,18.29,18.29,18.29,398,7039.5,128752.45,361
560604970097,DIGITAL INSULATION TESTER,Non-Critical,51.33,190.5,16.0,33.58,17.58,17.58,399,11056.61,194375.2,331
80090722,MINERAL JELLY FOR PROTECTING IRON & STEEL ARTICLES FROM RUST TO DGS&D SPECN. G/0-101/86.,Non-Critical,228.0,21.0,0.0,17.56,17.56,17.56,400,173.43,3045.43,489
83904827,TAG COTTON WHITE 60 CM LONG IN BUNDLES OF 100 EACH (SHOE LACE PATTERN ).,Non-Critical,19.0,285.0,0.0,17.28,17.28,17.28,401,26.88,464.49,500
469062580055,RELEASED CATENARY WIRE 65 sqmm,Non-Critical,757.83,44.0,148.95,165.76,16.81,16.81,402,611.0,10270.91,475
81050264,DETERGENT BAR 250 GMS TO BRAND  RIN/HENKO/TIDE  AS IN ORIGINAL PACKING,Non-Critical,66.23,60.0,0.0,16.57,16.57,16.57,403,22.61,374.65,501
539831440097,L-K7C Subrack with motherboard for Kyosan make EI,Critical,5.7,33.0,0.0,0.82,0.82,16.4,404,685000.0,561700.0,235
79010866,"DUNGRY CLOTH COTTON KHADI BLEACHED TO IS: 3778-1993,AMENDMENT-1 IN A PIECE LENGTH OF 10 TO 20 METERS....",Non-Critical,28.5,245.0,5.0,21.18,16.18,16.18,405,124.74,2018.29,494
563045833177,Galvanized Ground Connection for 220mm Point machine with Clamp Point Lockbar Assembly 1 in 8.5,Non-Critical,13.47,303.0,1.0,16.83,15.83,15.83,406,42001.0,664875.83,219
539875640092,Datalogger with 512 Digital input and 32 Analog input as per  RDSO specification no.IRS:S-99/2006 Am....,Critical,3.85,74.0,1.0,1.78,0.78,15.6,407,303063.6,236389.61,314
539836631099,Digital AC/DC clamp meter capable of measuring low currents in mA range as well as high current upto....,Non-Critical,14.49,353.0,3.0,18.49,15.49,15.49,408,6000.0,92940.0,385
560604186131,Electrical Operating Panel for Lifting barrier Gate(Without Relay) PTJ Make,Non-Critical,21.04,191.0,0.0,15.15,15.15,15.15,409,61313.0,928891.95,182
549008310204,"Data concentrator along with dual card modems, Power supply",Critical,5.43,123.0,2.0,2.75,0.75,15.0,410,119170.0,89377.5,387
539852990062,"EOLB GATE COMPLETE SET (Consisting of Pedestal, Meeting post, Boom, Control panel and Counter weight....",Critical,17.2,9.0,0.0,0.74,0.74,14.8,411,228496.16,169087.16,343
560604186143,EMERGENCY SLIDING BOOM COMPLETE SET (PTJ MAKE),Non-Critical,22.96,49.0,0.0,14.22,14.22,14.22,412,202692.0,2882280.24,90
560406180276,MSDAC Spare- Siemens Make Scalance switch as per RDSO SPEC: RDSO/SPN/176/2013 Version 3.0,Non-Critical,32.3,48.0,0.0,13.27,13.27,13.27,413,36892.7,489566.13,245
502355561004,Digital Handheld Water Quality Meter / Analyzer Measuring TDS Meter,Non-Critical,11.64,101.0,0.0,12.61,12.61,12.61,414,650.0,8196.5,479
539836410034,EPOXY GEL COAT RED,Non-Critical,366.87,96.0,165.0,177.54,12.54,12.54,415,363.44,4557.54,486
521104340026,External Modems for Auto hut Datalogger for networking of RTU as per RDSO specification no. IRS-S-99....,Non-Critical,16.94,83.0,0.0,12.32,12.32,12.32,416,27000.0,332640.0,290
539805771483,FRP Shunt Signal unit,Critical,11.4,59.5,3.0,4.16,1.16,11.6,417,10333.33,11986.66,471
469863050743,RODOMETER,Non-Critical,17.37,183.0,3.0,14.49,11.49,11.49,418,3600.0,41364.0,431
539800699782,METAL 10MM CRIMPING TOOL,Non-Critical,39.46,73.0,0.0,10.5,10.5,10.5,419,1199.0,12589.5,469
539823791010,RELAY BASED EMERGENCY PANEL,Non-Critical,22.8,127.0,0.0,10.37,10.37,10.37,420,253583.0,2629655.71,93
539817320060,Digital frequency selective Voltmeter suitable for measuring AFTC Parameter(TTM) ABB AFTC,Non-Critical,9.12,341.0,0.0,10.35,10.35,10.35,421,131629.0,1362360.15,152
509000405457,Joint closure conforming to TEC Spec. and splicing of Optic Fibre Cable 48 Fibres,Non-Critical,25.27,94.0,4.0,13.88,9.88,9.88,422,14000.0,138320.0,356
565094803584,AC to DC Converter to monitor 230VAC Analog inputs in the existing RTUs,Non-Critical,1.38,77.0,0.0,9.34,9.34,9.34,423,1770.0,16531.8,462
560403680160,Standard Tool Kit for Maintanance HASSDAC systems with accessories as per technical specification co....,Non-Critical,4.34,618.0,0.0,9.31,9.31,9.31,424,158000.0,1470980.0,142
789900328123,Office executive table Size 150X90X67 cm Right side - 03 Drawers & Left side one drawer,Non-Critical,11.4,256.0,0.0,8.72,8.72,8.72,425,30000.0,261600.0,307
781520833527,BOOK SHELF OF SIZES WOODEN MADE,Non-Critical,11.4,256.0,0.0,8.72,8.72,8.72,426,4000.0,34880.0,438
430800141263,FLUKE Single-point laser Class II Handheld Digital Infrared Thermometer,Non-Critical,25.06,63.0,0.0,8.72,8.72,8.72,427,6568.0,57272.96,408
539837611023,Electronic Gate Warning Bell 12V DC/110V AC,Non-Critical,228.0,11.0,0.0,8.6,8.6,8.6,428,5600.0,48160.0,421
565099653266,Data Logger RTU 32 Digital input 16 Analog input with Batteries,Critical,0.99,22.0,0.0,0.42,0.42,8.4,429,103000.0,43260.0,430
560609720149,"One embedded PC and one 55 inch 4K industrial grade VDU and other accessories like mouse, keyboard e....",Non-Critical,7.12,351.0,0.0,8.38,8.38,8.38,430,750000.0,6285000.0,46
83904104,SEALING WAX BLACK PITCH BASE IN BOX OF 50 KGS TO IS.868/56.,Non-Critical,4.38,285.0,0.0,8.31,8.31,8.31,431,71.03,590.26,498
539838080025,DIGITAL  EARTH RESISTANCE TESTER,Non-Critical,4.93,183.0,0.0,7.67,7.67,7.67,432,16800.0,128856.0,360
98210191,Copper NonArsenical Lump,Non-Critical,866.4,2.0,0.0,7.62,7.62,7.62,433,284.64,2168.96,492
79010805,"DUNGRI CLOTH, COTTON KHADI, BLUE 91 CM WIDE TO SPEC.NO.IS:3778 / 1993 WITH AMENDMENT No.1, MARCH 200....",Non-Critical,20.05,30.0,0.0,7.22,7.22,7.22,434,47.06,339.77,503
539831871011,WiFi Router,Non-Critical,22.8,103.0,0.0,7.09,7.09,7.09,435,4900.0,34741.0,439
539805021573,"24 port Giga Bit layer 2switch, 24 x 10/100/1000 BASE-T PoE ports ? 4 x 1G (minimum) SFP+ ports with....",Non-Critical,22.8,103.0,0.0,7.09,7.09,7.09,436,77000.0,545930.0,239
539839010020,EMPTY CABLE DRUM,Non-Critical,122.4,14.0,0.0,7.04,7.04,7.04,437,130.0,915.2,497
560400211147,"Portable fault analyser loaded with HASSDAC maintenance/trouble shooting software.HP  15, Model No. ....",Non-Critical,7.3,302.0,0.0,7.02,7.02,7.02,438,100000.0,702000.0,212
539817320023,Siemens AFTC Frequency Selective Voltmeter,Non-Critical,45.6,50.0,0.0,6.98,6.98,6.98,439,135641.0,946774.18,179
655701031889,Box type precision insulated Track gauge cum level (BG),Non-Critical,4.11,100.0,0.0,6.93,6.93,6.93,440,3245.0,22487.85,453
83904839,TAG COTTON WHITE 30 CMS LONG IN BUNDLES OF 100 NOS. EACH (SHOE LACE PATTERN) CSO/M.077).,Non-Critical,7.6,285.0,0.0,6.91,6.91,6.91,441,29.56,204.26,505
539813440710,"Cable/Pipe Route, fault and marker locator",Non-Critical,6.37,265.0,0.0,6.9,6.9,6.9,442,421598.06,2909026.61,89
503523410891,Friction Clutch Assembly for EOLB LC GATE PTJ MAKE,Non-Critical,7.36,92.0,0.0,6.74,6.74,6.74,443,2938.2,19803.47,458
570140712828,"Intel Core I3 All in One PC with 23.8 Inch Display, Windows 11 Professional, DDR4 8GB RAM, 1024 SSD,....",Non-Critical,45.6,49.0,1.0,7.4,6.4,6.4,444,56000.0,358400.0,282
539883710245,Relay Rack for EI,Non-Critical,12.38,133.0,0.0,6.25,6.25,6.25,445,95000.0,593750.0,231
722434810027,Rail Drilling Machine with stand 230VAC/ 50HZ,Non-Critical,5.4,319.0,0.0,6.22,6.22,6.22,446,25665.0,159636.3,349
560604970024,RISHABH Category III 1000 V of IEC 61010 Available Insulation Tester,Non-Critical,3.41,75.0,0.0,6.22,6.22,6.22,447,19200.0,119424.0,370
78010512,"GLASS TUMBLER 260 ML CAPACITY WITH IR"" TOTEM OF RDSO SKETCH 68060 ALT.2.",Non-Critical,29.86,41.5,0.0,6.03,6.03,6.03,448,22.36,134.83,508
560600099124,Supply and installation of Work space as per enclosed drawing -workspace(as approved by engineer inc....,Non-Critical,11.4,176.0,0.0,5.95,5.95,5.95,449,490000.0,2915500.0,88
560400211329,Portable Data Analyser for downloading event logger data for analysis and report generation in MSDAC....,Non-Critical,5.7,328.0,0.0,5.93,5.93,5.93,450,170000.0,1008100.0,176
539859140047,"Dial type Gram Tension Gauge, Range 50 To 500 gram.",Non-Critical,2.93,84.0,3.0,8.89,5.89,5.89,451,6090.29,35871.81,436
429079389199,"BRANDWAY 4 POLE GAZEBO TENT WITH POLE HEIGHT, 7 FEET",Non-Critical,3.7,62.0,0.0,5.77,5.77,5.77,452,6850.0,39524.5,433
539814380586,Commercial Grade VDU of Size 55 inch- Full HD including Supply of Fanless Embedded Industrial Grade ....,Non-Critical,11.4,170.0,0.0,5.76,5.76,5.76,453,750000.0,4320000.0,64
421100070120,150W LED Luminaire For Flood Light,Non-Critical,10.88,33.0,0.0,5.76,5.76,5.76,454,5500.0,31680.0,443
560604545830,Electrical Drilling Machine input 110V model WDH 13/23mm heavy duty drill 595 watts on full load wit....,Non-Critical,2.86,668.0,1.0,6.72,5.72,5.72,455,20651.18,118124.75,372
501000423936,CAT 6 Cable consisting of each drum/box of 305 Meters,Non-Critical,34.2,54.0,0.0,5.7,5.7,5.7,456,10000.0,57000.0,409
564681510184,Double Digit Multi Lamp Route Indicator (LED Type),Non-Critical,13.23,108.5,0.0,5.67,5.67,5.67,457,145000.0,822150.0,196
565094803572,AC to DC Converter to monitor 110VAC Analog inputs in the existing RTUs,Non-Critical,0.77,77.0,0.0,5.59,5.59,5.59,458,1770.0,9894.3,476
539869590130,1 KVA Online UPS with Battery,Non-Critical,7.6,200.0,0.0,5.45,5.45,5.45,459,42024.0,229030.8,320
726001400138,NEPTUNE HANDHELD BRUSH CUTTER / LINE TRIMMER,Non-Critical,45.6,38.0,0.0,5.45,5.45,5.45,460,9500.0,51775.0,415
549006091114,RAIL DEFLECTOR,Non-Critical,74.0,11.0,0.0,4.95,4.95,4.95,461,3000.0,14850.0,466
727901719596,ELECTRICAL DRILLING MACHINE 110V/550W 13 MM SPEED DRILL,Non-Critical,3.54,354.0,0.0,4.93,4.93,4.93,462,9322.0,45957.46,424
565000075991,Calling On Board,Non-Critical,114.0,11.0,0.0,4.57,4.57,4.57,463,10000.0,45700.0,426
539883710233,EI Main Rack for Kyosan make,Non-Critical,11.4,133.0,0.0,4.55,4.55,4.55,464,485000.0,2206750.0,102
560406180264,MSDAC Spare- Siemens Make process connector,Non-Critical,36.1,46.0,10.0,14.43,4.43,4.43,465,17705.9,78437.14,392
