PL_Code,Forecast_Method,MAE,RMSE,MAPE,sMAPE,Bias,Mean_Forecast_Error,Tracking_Signal,Forecastability_Score,Forecastability_Class,Forecast_Volume,Forecast_CV,Demand_Intermittency,Forecast_Confidence,Planning_Strategy,Backtest_Origins
567912420015,SBA,1.8195,1.8492,5.08,193.27,26.3828,1.8195,29.0,19.48,Very Low,22.3666,26.8137,86.79,Medium,Risk-driven,29
567912550075,TSB,150.2824,194.4873,105.21,185.51,3.3663,111.0887,22.176,21.24,Very Low,3559.7681,5.8936,85.19,Low,Risk-driven,30
567913080042,SBA,2.7878,2.8333,93.24,189.51,18.1205,2.7878,13.0,20.89,Very Low,31.9757,18.4162,83.78,Medium,Risk-driven,13
567913080091,SBA,,,,,,,,23.52,Very Low,27.7565,,88.24,Medium,Risk-driven,0
567913080108,TSB,,,,,,,,25.0,Very Low,31.7338,,82.35,Low,Risk-driven,0
567913080110,SBA,,,,,,,,24.85,Very Low,22.3079,,81.25,Medium,Risk-driven,0
567913210030,SBA,1.9,1.9,,200.0,0.0,1.9,7.0,13.72,Very Low,22.8,,96.77,Medium,Risk-driven,7
567913440125,SBA,0.95,0.95,,200.0,0.0,0.95,9.0,14.51,Very Low,11.4,,96.97,Medium,Risk-driven,9
567914940040,TSB,0.6341,0.7869,77.42,195.91,2.2561,0.376,10.6742,21.67,Very Low,2.3396,4.7216,76.19,Low,Risk-driven,18
567917930020,SBA,0.95,0.95,,200.0,0.0,0.95,6.0,13.33,Very Low,11.4,,96.67,Medium,Risk-driven,6
567918190044,TSB,10.9283,17.938,74.4,152.17,-0.5979,-6.3373,-5.799,32.83,Low,79.6113,1.6923,58.82,Low,Policy-driven,10
567919200197,SBA,0.7125,0.7125,,200.0,0.0,0.7125,5.0,12.95,Very Low,8.55,,96.55,Medium,Risk-driven,5
567919520027,SBA,1.425,1.425,,200.0,0.0,1.425,7.0,13.72,Very Low,17.1,,96.77,Medium,Risk-driven,7
567919640033,SBA,,,,,,,,19.96,Very Low,11.4,,87.5,Medium,Risk-driven,0
567919890025,SBA,,,,,,,,24.63,Very Low,5.9714,,90.48,Medium,Risk-driven,0
567921160020,SBA,,,,,,,,26.55,Very Low,6.7807,,77.78,Medium,Risk-driven,0
567921890045,SBA,3.3247,3.3247,,200.0,0.0,3.3247,8.0,22.5,Very Low,39.897,,68.75,Medium,Risk-driven,8
567922200024,TSB,8.2424,11.7115,76.27,128.45,-0.5872,-5.2851,-4.4885,42.6,Low,72.3049,1.3013,41.94,Low,Policy-driven,7
567924600080,SBA,,,,,,,,20.58,Very Low,8.55,,80.0,Medium,Risk-driven,0
569001120070,TSB,1.5959,2.8042,80.17,176.34,-0.6201,-0.8527,-4.2744,22.16,Very Low,6.5333,2.0394,81.25,Low,Risk-driven,8
569001220027,SBA,1.6426,1.6425,,200.0,0.0,1.6426,28.0,16.92,Very Low,19.7106,,92.31,Medium,Risk-driven,28
569001230021,SBA,1.8145,1.8145,,200.0,0.0,1.8145,28.0,16.44,Very Low,21.774,,94.23,Medium,Risk-driven,28
569001230033,SBA,1.0355,1.0355,,200.0,0.0,1.0355,28.0,16.92,Very Low,12.426,,92.31,Medium,Risk-driven,28
569001240026,SBA,0.19,0.19,,200.0,0.0,0.19,27.0,15.49,Very Low,2.28,,98.04,Medium,Risk-driven,27
569001250020,SBA,1.0284,1.0284,,200.0,0.0,1.0284,28.0,16.44,Very Low,12.3413,,94.23,Medium,Risk-driven,28
569001340057,SBA,2.85,2.85,,200.0,0.0,2.85,21.0,15.55,Very Low,34.2,,97.78,Medium,Risk-driven,21
569001340069,SBA,2.85,2.85,,200.0,0.0,2.85,21.0,15.55,Very Low,34.2,,97.78,Medium,Risk-driven,21
569001340070,SBA,2.85,2.85,,200.0,0.0,2.85,21.0,15.55,Very Low,34.2,,97.78,Medium,Risk-driven,21
569001340082,SBA,2.85,2.85,,200.0,0.0,2.85,21.0,15.55,Very Low,34.2,,97.78,Medium,Risk-driven,21
569001340094,SBA,2.85,2.85,,200.0,0.0,2.85,21.0,15.55,Very Low,34.2,,97.78,Medium,Risk-driven,21
569001370025,SBA,1.1875,1.1875,,200.0,0.0,1.1875,24.0,15.52,Very Low,14.25,,97.92,Medium,Risk-driven,24
569001370037,SBA,1.1875,1.1875,,200.0,0.0,1.1875,24.0,15.52,Very Low,14.25,,97.92,Medium,Risk-driven,24
569001370049,SBA,0.475,0.475,,200.0,0.0,0.475,24.0,15.52,Very Low,5.7,,97.92,Medium,Risk-driven,24
569001370050,SBA,0.294,0.294,,200.0,0.0,0.294,24.0,16.04,Very Low,3.5286,,95.83,Medium,Risk-driven,24
569001370062,SBA,0.294,0.294,,200.0,0.0,0.294,24.0,16.04,Very Low,3.5286,,95.83,Medium,Risk-driven,24
569001370074,SBA,0.294,0.294,,200.0,0.0,0.294,24.0,16.04,Very Low,3.5286,,95.83,Medium,Risk-driven,24
569001370086,SBA,2.85,2.85,,200.0,0.0,2.85,21.0,15.55,Very Low,34.2,,97.78,Medium,Risk-driven,21
569001520060,SBA,0.2375,0.2375,,200.0,0.0,0.2375,26.0,15.5,Very Low,2.85,,98.0,Medium,Risk-driven,26
569001520072,SBA,0.2375,0.2375,,200.0,0.0,0.2375,26.0,15.5,Very Low,2.85,,98.0,Medium,Risk-driven,26
569001520084,SBA,0.2375,0.2375,,200.0,0.0,0.2375,26.0,15.5,Very Low,2.85,,98.0,Medium,Risk-driven,26
569001570026,SBA,0.6448,0.7243,1.77,192.92,18.0532,0.6448,28.0,18.64,Very Low,4.6586,20.2805,90.38,Medium,Risk-driven,28
569001570063,SBA,1.0823,1.2874,72.7,187.48,12.1118,1.0532,22.3814,19.32,Very Low,6.9196,14.8047,91.49,Medium,Risk-driven,23
569001580056,SBA,0.4658,0.5335,78.41,196.26,2.8573,0.3008,12.2673,17.4,Very Low,4.7899,5.0686,93.02,Medium,Risk-driven,19
569001620066,TSB,1.2599,4.3422,99.37,199.87,-0.7276,-0.7276,-10.9727,17.35,Very Low,1.4352,4.3422,90.7,Low,Risk-driven,19
569001620078,TSB,0.4016,1.1312,97.61,199.51,-0.4261,-0.1121,-5.3044,17.41,Very Low,0.7176,4.2985,90.7,Low,Risk-driven,19
569001890021,SBA,0.5248,0.8641,84.78,196.08,0.5216,0.1204,5.964,18.19,Very Low,3.4373,3.7444,90.0,Medium,Risk-driven,26
569001890033,SBA,0.0794,0.2314,100.0,168.42,-0.4911,-0.0258,-6.1834,21.11,Very Low,0.4071,4.3964,97.67,Medium,Risk-driven,19
569001890045,SBA,0.1321,0.225,90.5,198.17,0.6994,0.0368,5.2958,16.48,Very Low,1.0556,4.2756,95.35,Medium,Risk-driven,19
569001890057,SBA,0.3539,0.4545,75.0,195.79,1.8616,0.196,10.522,17.48,Very Low,2.9786,4.3174,93.02,Medium,Risk-driven,19
569001930020,SBA,1.1344,1.3102,49.21,169.7,0.8364,0.474,12.5343,32.55,Low,9.9896,2.3121,62.96,Medium,Policy-driven,30
569001970028,TSB,0.5986,1.5475,90.79,197.72,-0.2305,-0.0823,-3.8511,18.66,Very Low,1.3622,4.3329,88.46,Low,Risk-driven,28
569002040021,SBA,38.0,38.0,,200.0,0.0,38.0,12.0,15.7,Very Low,456.0,,97.22,Medium,Risk-driven,12
569002491213,SBA,,,,,,,,32.1,Low,83.0751,,57.14,Medium,Policy-driven,0
569003010073,TSB,2.7954,3.0316,62.57,182.36,6.0972,2.4389,26.1742,21.79,Very Low,41.0796,7.5789,85.19,Low,Risk-driven,30
569003010085,TSB,2.2882,2.7507,68.16,188.68,5.7503,1.9168,25.1301,20.22,Very Low,42.1881,8.2522,87.04,Low,Risk-driven,30
569003010103,SBA,59.0071,61.8231,51.14,194.31,37.55,59.0071,28.0,16.96,Very Low,134.8,39.342,96.15,Medium,Risk-driven,28
569003011284,SBA,,,,,,,,22.67,Very Low,63.84,,80.0,Medium,Risk-driven,0
569003011545,SBA,,,,,,,,20.58,Very Low,5.7,,80.0,Medium,Risk-driven,0
569003030023,TSB,858.1431,1156.169,243.49,175.4,1.8167,498.8139,17.4381,23.93,Very Low,12876.0947,4.2109,81.48,Low,Risk-driven,30
569003030035,SBA,822.4919,822.4919,,200.0,0.0,822.4919,29.0,16.41,Very Low,9869.9029,,94.34,Medium,Risk-driven,29
569003031210,SBA,,,,,,,,20.58,Very Low,5.7,,80.0,Medium,Risk-driven,0
569003510057,TSB,4.1486,4.5845,98.3,173.92,4.0558,3.5151,25.4186,24.19,Very Low,55.6897,5.2898,81.48,Low,Risk-driven,30
569003520038,TSB,2.7075,2.9015,61.66,187.38,7.0533,2.3511,26.0507,20.45,Very Low,26.0428,8.7044,87.04,Low,Risk-driven,30
569003530032,TSB,4.177,5.1279,69.97,178.31,2.2669,2.7203,19.538,22.96,Very Low,53.6601,4.2733,83.33,Low,Risk-driven,30
