PL_Code,PL_Code_Normalized,Length,Issue_Type,Changed
509000349855,509000349855,12,Len12,No
509000355880,509000355880,12,Len12,No
509000355909,509000355909,12,Len12,No
509000355910,509000355910,12,Len12,No
509000396559,509000396559,12,Len12,No
509000404337,509000404337,12,Len12,No
509000404404,509000404404,12,Len12,No
509000405457,509000405457,12,Len12,No
509000422789,509000422789,12,Len12,No
509000506870,509000506870,12,Len12,No
509004730016,509004730016,12,Len12,No
509006510032,509006510032,12,Len12,No
509009700026,509009700026,12,Len12,No
509009700038,509009700038,12,Len12,No
509010050044,509010050044,12,Len12,No
509010050056,509010050056,12,Len12,No
50901126,50901126,8,Len8,No
509040374230,509040374230,12,Len12,No
509040475288,509040475288,12,Len12,No
509040546672,509040546672,12,Len12,No
509041036045,509041036045,12,Len12,No
509041067327,509041067327,12,Len12,No
509041390412,509041390412,12,Len12,No
509041760069,509041760069,12,Len12,No
509042120027,509042120027,12,Len12,No
509042120039,509042120039,12,Len12,No
509042510220,509042510220,12,Len12,No
509044610034,509044610034,12,Len12,No
509048210051,509048210051,12,Len12,No
509051280160,509051280160,12,Len12,No
509051570101,509051570101,12,Len12,No
520500401633,520500401633,12,Len12,No
520500451223,520500451223,12,Len12,No
520500451430,520500451430,12,Len12,No
520500451508,520500451508,12,Len12,No
520501510910,520501510910,12,Len12,No
520502200035,520502200035,12,Len12,No
520502281606,520502281606,12,Len12,No
520504030030,520504030030,12,Len12,No
520504660025,520504660025,12,Len12,No
520508390028,520508390028,12,Len12,No
520508390065,520508390065,12,Len12,No
520508600060,520508600060,12,Len12,No
520508600072,520508600072,12,Len12,No
520508600096,520508600096,12,Len12,No
520508600102,520508600102,12,Len12,No
520508600114,520508600114,12,Len12,No
520508600126,520508600126,12,Len12,No
520508600140,520508600140,12,Len12,No
520508600163,520508600163,12,Len12,No
520508600175,520508600175,12,Len12,No
520512200020,520512200020,12,Len12,No
520800260150,520800260150,12,Len12,No
521000590026,521000590026,12,Len12,No
521100030158,521100030158,12,Len12,No
521100030390,521100030390,12,Len12,No
521100040050,521100040050,12,Len12,No
521100050194,521100050194,12,Len12,No
521100050200,521100050200,12,Len12,No
521100050224,521100050224,12,Len12,No
521100050236,521100050236,12,Len12,No
521100080484,521100080484,12,Len12,No
521100120135,521100120135,12,Len12,No
521100530027,521100530027,12,Len12,No
521100810024,521100810024,12,Len12,No
521102480039,521102480039,12,Len12,No
521102480040,521102480040,12,Len12,No
521104340026,521104340026,12,Len12,No
521501630045,521501630045,12,Len12,No
52156576/56500452,5215657656500452,17,Composite+Len16,Yes
52156618/56509935,5215661856509935,17,Composite+Len16,Yes
521566280429,521566280429,12,Len12,No
521566280430,521566280430,12,Len12,No
521566280739,521566280739,12,Len12,No
521566390193,521566390193,12,Len12,No
521566390223,521566390223,12,Len12,No
521566390247,521566390247,12,Len12,No
521566390272,521566390272,12,Len12,No
521566390284,521566390284,12,Len12,No
521566390387,521566390387,12,Len12,No
521700101899,521700101899,12,Len12,No
521700102340,521700102340,12,Len12,No
521700102363,521700102363,12,Len12,No
521700102600,521700102600,12,Len12,No
521700102715,521700102715,12,Len12,No
521700102995,521700102995,12,Len12,No
521700130127,521700130127,12,Len12,No
521700270090,521700270090,12,Len12,No
521700270120,521700270120,12,Len12,No
521700270156,521700270156,12,Len12,No
521700350127,521700350127,12,Len12,No
522002010024,522002010024,12,Len12,No
522002180021,522002180021,12,Len12,No
522002180033,522002180033,12,Len12,No
522004290085,522004290085,12,Len12,No
522004290103,522004290103,12,Len12,No
522004290115,522004290115,12,Len12,No
522004290127,522004290127,12,Len12,No
522004290139,522004290139,12,Len12,No
522005520025,522005520025,12,Len12,No
522005910022,522005910022,12,Len12,No
522500060207,522500060207,12,Len12,No
522500060268,522500060268,12,Len12,No
523000460025,523000460025,12,Len12,No
523000470511,523000470511,12,Len12,No
523000590061,523000590061,12,Len12,No
523000600066,523000600066,12,Len12,No
523000710121,523000710121,12,Len12,No
523000830047,523000830047,12,Len12,No
523000830059,523000830059,12,Len12,No
523000830060,523000830060,12,Len12,No
523000830072,523000830072,12,Len12,No
523000830084,523000830084,12,Len12,No
523000830096,523000830096,12,Len12,No
523000830102,523000830102,12,Len12,No
523000830126,523000830126,12,Len12,No
523000830138,523000830138,12,Len12,No
523000830140,523000830140,12,Len12,No
523000830151,523000830151,12,Len12,No
525500230316,525500230316,12,Len12,No
527900042963,527900042963,12,Len12,No
527900045101,527900045101,12,Len12,No
527900045113,527900045113,12,Len12,No
527900045265,527900045265,12,Len12,No
527900045289,527900045289,12,Len12,No
527900045903,527900045903,12,Len12,No
527900045915,527900045915,12,Len12,No
527900046506,527900046506,12,Len12,No
527900062767,527900062767,12,Len12,No
527900082614,527900082614,12,Len12,No
527900312176,527900312176,12,Len12,No
527900313326,527900313326,12,Len12,No
527900430653,527900430653,12,Len12,No
527900442771,527900442771,12,Len12,No
527900443040,527900443040,12,Len12,No
527900510650,527900510650,12,Len12,No
527900510727,527900510727,12,Len12,No
527900510739,527900510739,12,Len12,No
527900510740,527900510740,12,Len12,No
527900510752,527900510752,12,Len12,No
527900510788,527900510788,12,Len12,No
527901140087,527901140087,12,Len12,No
527901140130,527901140130,12,Len12,No
527901460094,527901460094,12,Len12,No
527902350041,527902350041,12,Len12,No
527902350065,527902350065,12,Len12,No
527903380041,527903380041,12,Len12,No
527903920072,527903920072,12,Len12,No
527905800227,527905800227,12,Len12,No
527905800240,527905800240,12,Len12,No
527905800290,527905800290,12,Len12,No
527905800318,527905800318,12,Len12,No
527905800320,527905800320,12,Len12,No
527905800343,527905800343,12,Len12,No
527905800355,527905800355,12,Len12,No
527905800379,527905800379,12,Len12,No
527905800380,527905800380,12,Len12,No
527905800422,527905800422,12,Len12,No
527907360024,527907360024,12,Len12,No
527907360036,527907360036,12,Len12,No
528100010050,528100010050,12,Len12,No
528100010103,528100010103,12,Len12,No
528100030023,528100030023,12,Len12,No
528700080244,528700080244,12,Len12,No
528700380033,528700380033,12,Len12,No
528700380045,528700380045,12,Len12,No
529001730054,529001730054,12,Len12,No
529001880441,529001880441,12,Len12,No
529001880453,529001880453,12,Len12,No
529002070025,529002070025,12,Len12,No
529002520079,529002520079,12,Len12,No
529002520109,529002520109,12,Len12,No
529003560279,529003560279,12,Len12,No
529004840030,529004840030,12,Len12,No
529006340035,529006340035,12,Len12,No
529006590027,529006590027,12,Len12,No
529008670087,529008670087,12,Len12,No
529008670099,529008670099,12,Len12,No
529009640030,529009640030,12,Len12,No
529009640042,529009640042,12,Len12,No
529012410027,529012410027,12,Len12,No
529012410039,529012410039,12,Len12,No
529012890025,529012890025,12,Len12,No
529012920091,529012920091,12,Len12,No
529013630023,529013630023,12,Len12,No
529013630035,529013630035,12,Len12,No
529014480033,529014480033,12,Len12,No
529018700027,529018700027,12,Len12,No
529021160036,529021160036,12,Len12,No
529900070051,529900070051,12,Len12,No
529900350047,529900350047,12,Len12,No
539800055337,539800055337,12,Len12,No
539800111080,539800111080,12,Len12,No
539800218676,539800218676,12,Len12,No
539800218688,539800218688,12,Len12,No
539800218690,539800218690,12,Len12,No
539800448128,539800448128,12,Len12,No
539800448130,539800448130,12,Len12,No
539800448189,539800448189,12,Len12,No
539800448190,539800448190,12,Len12,No
539800448281,539800448281,12,Len12,No
539800456678,539800456678,12,Len12,No
539800456903,539800456903,12,Len12,No
539800469648,539800469648,12,Len12,No
539800493572,539800493572,12,Len12,No
539800639499,539800639499,12,Len12,No
539800699782,539800699782,12,Len12,No
539800819635,539800819635,12,Len12,No
539800829501,539800829501,12,Len12,No
539801039390,539801039390,12,Len12,No
539801361018,539801361018,12,Len12,No
539801361468,539801361468,12,Len12,No
539801395296,539801395296,12,Len12,No
539801396203,539801396203,12,Len12,No
539801396525,539801396525,12,Len12,No
539801431227,539801431227,12,Len12,No
539801431239,539801431239,12,Len12,No
539801431276,539801431276,12,Len12,No
539801431288,539801431288,12,Len12,No
539801448823,539801448823,12,Len12,No
539801491121,539801491121,12,Len12,No
539801491133,539801491133,12,Len12,No
539801491145,539801491145,12,Len12,No
539801491157,539801491157,12,Len12,No
539801491169,539801491169,12,Len12,No
539801538514,539801538514,12,Len12,No
539801568695,539801568695,12,Len12,No
539801568713,539801568713,12,Len12,No
539801568725,539801568725,12,Len12,No
539801591796,539801591796,12,Len12,No
539801592053,539801592053,12,Len12,No
539801657679,539801657679,12,Len12,No
539801669852,539801669852,12,Len12,No
539801778410,539801778410,12,Len12,No
539801778483,539801778483,12,Len12,No
539801778495,539801778495,12,Len12,No
539801779256,539801779256,12,Len12,No
