Inventory_Value_Band,Count,Inventory_Value,Inventory_Domain,Business_Unit,Division,Depot,Snapshot_Date,Pipeline_Version
"< Rs 10,000",446,195468.04,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
"Rs 10,000 - 1 Lakh",148,6655951.68,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
Rs 1 Lakh - 10 Lakh,212,78256891.18,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
Rs 10 Lakh - 1 Crore,94,289354635.41,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
>= Rs 1 Crore,7,137943460.16,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
