Inventory_Aging_Class,Count,Inventory_Value,Inventory_Domain,Business_Unit,Division,Depot,Snapshot_Date,Pipeline_Version
Active,202,106147629.35,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
Monitor,142,163280565.03,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
Slow Moving,95,33826551.77,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
Very Slow Moving,232,130351984.54,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
Dead Stock,190,76283547.78,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
Unknown,46,2516128.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
