Action,Description,Count,Strategic_Inventory_Value,Operational_Inventory_Value,Priority,Inventory_Domain,Business_Unit,Division,Depot,Snapshot_Date,Pipeline_Version
Procure Immediately,Procure Immediately,23,76978849.61,0.0,1-Critical,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
Retain,Retain,348,1321929.67,269428194.38,5-Steady,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
Monitor,Monitor,71,4588560.3,2516128.0,4-Low,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
Rationalize,Rationalize,327,0.0,164178536.31,3-Medium,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
Dispose,Dispose,190,0.0,76283547.78,2-High,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
