Inventory_Aging_Class,Count,Inventory_Value
Active,234.0,81797964.41
Monitor,99.0,16620610.23
Slow Moving,83.0,13287849.45
Very Slow Moving,164.0,1967534.21
Dead Stock,340.0,6325696.92
Unknown,0.0,0.0
