Scenario,PLs_Funded,SRRS_Removed,SRRS_Remaining,Risk_Reduction_Pct,S1_Funded,S2_Funded,S3_Funded,S4_Funded,Capital_Utilized,Capital_Efficiency
Rs 25 Cr,33,9758645.49,685334.99,93.438,8,6,7,12,249981942.11,0.0390374
Rs 50 Cr,48,10219143.38,224837.1,97.8472,11,10,13,14,466976139.42,0.02188365
Rs 100 Cr,48,10219143.38,224837.1,97.8472,11,10,13,14,466976139.42,0.02188365
Rs 200 Cr,49,10289838.18,154142.3,98.5241,12,10,13,14,1347055985.03,0.00763876
Unlimited,50,10443980.48,0.0,100.0,13,10,13,14,6606343723.14,0.0015809
