Budget_Label,Budget_Rupees,PLs_Funded,Critical_PLs_Funded,SRRS_Mitigated,SRRS_Remaining,Risk_Reduction_Pct,Budget_Utilized,Marginal_SRRS_Per_Rupee
Rs 1 Cr,10000000.0,27,6,2161297.44,8282683.04,20.6942,9834650.15,0.21976353
Rs 5 Cr,50000000.0,28,8,5874122.62,4569857.86,56.2441,49937484.26,0.09258261
Rs 10 Cr,100000000.0,30,10,7591934.18,2852046.3,72.692,99947258.78,0.03434952
Rs 25 Cr,250000000.0,33,14,9758645.49,685334.99,93.438,249981942.11,0.0144414
Rs 50 Cr,500000000.0,48,21,10219143.38,224837.1,97.8472,466976139.42,0.00212217
Rs 100 Cr,1000000000.0,48,21,10219143.38,224837.1,97.8472,466976139.42,0.0
Rs 200 Cr,2000000000.0,49,22,10289838.18,154142.3,98.5241,1347055985.03,8.033e-05
Rs 500 Cr,5000000000.0,49,22,10289838.18,154142.3,98.5241,1347055985.03,0.0
Unlimited,,50,23,10443980.48,0.0,100.0,6606343723.14,2.931e-05
