Year,Annual_Budget,Items_Funded,Capital_Required,Cumulative_Risk_Reduction_Pct,Remaining_Exposure
FY2026-27,2202114574.38,49,1347055985.03,98.5241,5259287738.11
FY2027-28,2202114574.38,0,0.0,98.5241,5259287738.11
FY2028-29,2202114574.38,0,0.0,98.5241,5259287738.11
