Inventory_Value_Band,Count,Inventory_Value,Inventory_Domain,Business_Unit,Division,Depot,Snapshot_Date,Pipeline_Version
"< Rs 10,000",619.0,534538.29,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
"Rs 10,000 - 1 Lakh",139.0,5661642.96,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
Rs 1 Lakh - 10 Lakh,137.0,49723791.64,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
Rs 10 Lakh - 1 Crore,25.0,64079682.33,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
>= Rs 1 Crore,0.0,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
