Action,Description,Count,Strategic_Inventory_Value,Operational_Inventory_Value,Priority,Inventory_Domain,Business_Unit,Division,Depot,Snapshot_Date,Pipeline_Version
Procure Immediately,Procure Immediately,23,1511731.32,6071648.71,1-Critical,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
Retain,Retain,319,0.0,93247159.93,5-Steady,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
Monitor,Monitor,23,4119665.1,0.0,4-Low,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
Rationalize,Rationalize,244,0.0,14355149.66,3-Medium,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
Dispose,Dispose,340,0.0,6325696.92,2-High,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
