Inventory_Aging_Class,Count,Inventory_Value,Inventory_Domain,Business_Unit,Division,Depot,Snapshot_Date,Pipeline_Version
Active,220.0,85560756.34,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
Monitor,61.0,54968081.9,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
Slow Moving,115.0,13418473.16,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
Very Slow Moving,125.0,23988394.18,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
Dead Stock,321.0,16750692.31,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
Unknown,0.0,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
