Inventory_Value_Band,Count,Inventory_Value
"< Rs 10,000",395,463328.89
"Rs 10,000 - 1 Lakh",208,9001619.45
Rs 1 Lakh - 10 Lakh,201,67308807.62
Rs 10 Lakh - 1 Crore,37,105296446.93
>= Rs 1 Crore,1,12616195.0
