Inventory_Aging_Class,Count,Inventory_Value
Active,220.0,85560756.34
Monitor,61.0,54968081.9
Slow Moving,115.0,13418473.16
Very Slow Moving,125.0,23988394.18
Dead Stock,321.0,16750692.31
Unknown,0.0,0.0
