Inventory_Aging_Class,Count,Inventory_Value
Active,180.0,68847065.73
Monitor,71.0,15276294.41
Slow Moving,113.0,8745638.24
Very Slow Moving,145.0,3515122.04
Dead Stock,260.0,3862175.85
Unknown,0.0,0.0
