PL_Code,Description,Business_Unit,Strategic_Stock,Allocation_Source,Source_Depot_Column
56468064,Calling on LED Signal lightning unit 100 V AC,MAS,150.0,Depot_Column_Allocation,GSD/PER
56509960,Cable 2 C x 25 sq.mm,MAS,9.06,Depot_Column_Allocation,GSD/PER
56119033,Cable 19 C x 1.5 sq.mm,MAS,236.0,Depot_Column_Allocation,GSD/PER
56163034,Voltage stabilizer 3 KVA-230V.,MAS,17.0,Depot_Column_Allocation,GSD/PER
56468027,Route LED Signal lightning unit 100 V AC,MAS,319.0,Depot_Column_Allocation,GSD/PER
56987122/56110029,Cable 3 C x 10 sq.mm,MAS,3988.0,Depot_Column_Allocation,GSD/PER
91150401,SOLDER CORE RESIN FILLED (Kgs.),MAS,58.0,Depot_Column_Allocation,GSD/PER
91150401,SOLDER CORE RESIN FILLED (Kgs.),SA,38.0,Depot_Column_Allocation,GSD/ED
91150401,SOLDER CORE RESIN FILLED (Kgs.),TVC,13.5,Depot_Column_Allocation,DSD/QLN
91150401,SOLDER CORE RESIN FILLED (Kgs.),TPJ,15.5,Depot_Column_Allocation,GSD/GOC
41095066,PVC Insulation TAPE (Mtrs),MAS,4245.0,Depot_Column_Allocation,GSD/PER
41095066,PVC Insulation TAPE (Mtrs),SA,8730.0,Depot_Column_Allocation,GSD/ED
41095066,PVC Insulation TAPE (Mtrs),MDU,4960.0,Depot_Column_Allocation,LSD/MDU
41095066,PVC Insulation TAPE (Mtrs),TVC,9940.0,Depot_Column_Allocation,DSD/QLN
41095066,PVC Insulation TAPE (Mtrs),TPJ,4090.0,Depot_Column_Allocation,GSD/GOC
