Zone,Inventory_Domain,Business_Units_Configured,Business_Units_Populated,Strategic_Inventory_Value,Operational_Inventory_Value,Dead_Stock_Value,Inventory_Turn_Risk,Digital_Twin_Readiness,Snapshot_Date,Pipeline_Version,BU_Scope
Southern Railway,Railway_Operations,6,6,85663635.52,3074438438.82,457701286.68,46.93,75.0,2026-03-31,12.5.0,MAS
Southern Railway,Railway_Operations,6,6,85663635.52,490906622.4,19505728.8,14.97,75.0,2026-03-31,12.5.0,SA
Southern Railway,Railway_Operations,6,6,85663635.52,1254240307.2,19171557.36,15.95,75.0,2026-03-31,12.5.0,TPJ
Southern Railway,Railway_Operations,6,6,85663635.52,601477777.62,23173055.1,16.08,75.0,2026-03-31,12.5.0,MDU
Southern Railway,Railway_Operations,6,6,85663635.52,719997931.32,37954181.52,17.98,75.0,2026-03-31,12.5.0,PGT
Southern Railway,Railway_Operations,6,6,85663635.52,1168118387.34,100504153.86,27.82,75.0,2026-03-31,12.5.0,TVC
