Budget,Items_Funded,Procurement_Coverage,Criticality_Coverage,Remaining_Gap
5000000.0,11,1.03,0.47,468261544.38
10000000.0,9,2.11,2.19,463152339.86
20000000.0,13,4.22,4.22,453155224.9
50000000.0,16,10.54,12.71,423247304.49
