Action,Description,Count,Strategic_Inventory_Value,Operational_Inventory_Value,Priority
Procure Immediately,Procure Immediately,126,1511731.32,65673840.99,1-Critical
Retain,Retain,379,0.0,111554434.19,5-Steady
Monitor,Monitor,25,4105741.1,202644.0,4-Low
Rationalize,Rationalize,444,0.0,28440131.19,3-Medium
Dispose,Dispose,406,0.0,3169000.83,2-High
