PL_Code,Description,Current_Stock,Unit,Unit_Cost,Inventory_Value,Last_Receipt_Date,Last_Issue_Date,Days_Since_Movement,Inventory_Aging_Class,Movement_Status,Inventory_Value_Band,Depot,Operational_ABC
729072230019,Manvetti,11.0,Nos.,120.0,1320.0,24-07-2024,,683,Very Slow Moving,Slow Moving,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
721800040199,NOSE PLIER,39.0,Nos.,60.0,2340.0,18-10-2021,,1693,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
539872260016,POINT TEST GAUGE,5.0,Nos.,626.71,3133.55,03-05-2024,06-08-2025,305,Slow Moving,Slow Moving,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
654800060170,LIFTING PULLING MACHINE Portable Type (Tarfar),1.0,Nos.,500.0,500.0,18-10-2021,,1693,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
473500354432,OIL PUMP ROTARY TYPE,1.0,Nos.,500.0,500.0,19-10-2021,,1692,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
783102110029,Rack angle iron,5.0,Nos.,1200.0,6000.0,19-10-2021,,1692,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
781509360010,Rack boiler Tube 4 sleeves,5.0,Nos.,800.0,4000.0,19-10-2021,09-04-2025,424,Very Slow Moving,Slow Moving,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
600500040509,STOCK RAIL for SEJ 52 KG,9.0,Nos.,1000.0,9000.0,19-10-2021,,1692,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
783000281273,Rack wooden,0.0,Nos.,1000.0,0.0,19-10-2021,,1692,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
727900640017,Rail Jumpers,1.0,Nos.,200.0,200.0,19-10-2021,,1692,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
560605631584,RELAY TESTING KIT,3.0,Nos.,37004.0,111012.0,02-05-2024,02-06-2026,5,Active,Active,Rs 1 Lakh - 10 Lakh,SSE/S/SRM/TPJ077355-S AND T-SR,C
753000050019,Nylon ropes. 1/2 Inch SIZES,50.0,Kgs.,10.0,500.0,19-10-2021,,1692,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
560605360011,SCREW DRIVER -V/ SIZE,5.0,Nos.,20.0,100.0,19-10-2021,,1692,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
721800090282,Screw driver set (BOX),19.0,Set,25.0,475.0,19-10-2021,,1692,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
565094831178,Sealing plier,8.0,Nos.,15.0,120.0,19-10-2021,,1692,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
723870750402,shoval Round nose,2.0,Nos.,25.0,50.0,19-10-2021,,1692,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
