Inventory_Aging_Class,Count,Inventory_Value
Active,275.0,159834163.7
Monitor,157.0,15863492.03
Slow Moving,201.0,20999368.33
Very Slow Moving,286.0,9147767.58
Dead Stock,436.0,3195259.56
Unknown,0.0,0.0
