Inventory_Aging_Class,Count,Inventory_Value,Inventory_Domain,Business_Unit,Division,Depot,Snapshot_Date,Pipeline_Version
Active,1252.0,546634840.58,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
Monitor,615.0,291125296.55,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
Slow Moving,741.0,96854009.74,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
Very Slow Moving,1023.0,171387926.05,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
Dead Stock,1704.0,112184455.22,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
Unknown,0.0,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
