Action,Description,Count,Strategic_Inventory_Value,Operational_Inventory_Value,Priority,Inventory_Domain,Business_Unit,Division,Depot,Snapshot_Date,Pipeline_Version
Procure Immediately,Procure Immediately,243,1511731.32,162302504.41,1-Critical,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
Retain,Retain,1735,0.0,685264815.8,5-Steady,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
Monitor,Monitor,28,1623727.66,2526659.79,4-Low,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
Rationalize,Rationalize,1681,0.0,255934351.65,3-Medium,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
Dispose,Dispose,1664,0.0,112158196.49,2-High,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
