Inventory_Aging_Class,Count,Inventory_Value
Active,128.0,44447261.05
Monitor,84.0,25126302.26
Slow Moving,132.0,5847844.59
Very Slow Moving,72.0,3145407.7
Dead Stock,126.0,3250954.8
Unknown,0.0,0.0
