PL_Code,Description,Current_Stock,Inventory_Value,Days_Since_Movement,Depot,Inventory_Domain,Business_Unit,Division,Snapshot_Date,Pipeline_Version
567900920012,PPTC Fuse 6 Amps,0.0,0.0,1969,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
567900840016,Road Warning Amplifier ( Digital Voice Annunciating System ),0.0,0.0,906,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
563045890010,Tool Kit For IRS Point Machine,0.0,0.0,1291,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
565198330017,INVERTER 24VDC/110VAC/500VA,0.0,0.0,1383,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
539807350018,Track Feed Battery Charger 110V/10AMPS,0.0,0.0,1707,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
570123700017,"FAULT ANALYZER ( EQUIPMENT  LAPTOP )WITH ALL ACCESSORIES, MAKE-HP",0.0,0.0,1485,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
560408560015,HASSDAC TRACK MARKING JIG & DUMMY WHEEL,0.0,0.0,1413,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
539807550019,Digital Multi Meter Rish-15S,0.0,0.0,1462,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
549007500010,Fit & Forget Bond Wire 1.5 Mts Long Continuity bond wire.,0.0,0.0,1224,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
54360031,LAMP 110V-75W-2PIN TYPE BC TO IS 418/1963,0.0,0.0,1651,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
567900910018,PPTC Fuse 4 Amps,0.0,0.0,1969,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
561300920019,UFSBI Block Instruments,0.0,0.0,1492,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
561300910014,S/L Token less B/I Receiver (RX-2700HZ ),0.0,0.0,922,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
561300890015,S/L Token less B/I Transmitter (TX-2700HZ ),0.0,0.0,785,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
560402970013,Reset Box ( CEL Make ),0.0,0.0,1424,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
564680680045,CLS unit 3 Aspect ( MILD STEEL ),0.0,0.0,1788,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
564700020010,Calling On Aspect  Unit ( HOOD ASSEMBLY ),0.0,0.0,1548,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
560601990012,ISOLATION TRANSFORMER 110V/110V/50VA,0.0,0.0,1782,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
565100010052,Isolation Transformer for LED Signal 110v/110v 50 VA,0.0,0.0,1634,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
47200054,TRANSFORMERS 230/110V 1 KVA TO RDSO SPECIFICATION NO.RDSO/SPECN.262/1981 AND TO DRG NO 262....,0.0,0.0,963,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
539807260017,Relay QNA1K 6F-6B (1000 Ohms),0.0,0.0,1874,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
56160112,Battery Charger 230V/24V 50 amps. As per RDSO Specn. No. IRS.S.86/2000 (Amndt.-4) or lates....,0.0,0.0,1798,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
56220509,ELECTRONIC TIME DELAY DEVICE 120 Second,0.0,0.0,915,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
56500361,Battery Charger 230V/24V 50 amps. As per RDSO Specn. No. IRS.S.86/2000 (Amndt.-4) or lates....,0.0,0.0,1758,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
45174404,HYDROMETER ASSEMBLY COMPLETE AS PER SEL DRG 126 CONSISTING OF (1) HYDROMETER GRADUATED FR....,0.0,0.0,1461,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
539807250012,RELAY QBCA1 2F(HD)/4B,0.0,0.0,963,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
56985800,Timer relay 60 Second,0.0,0.0,915,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
539810670016,Power Supply Arrangement for RTU and Battery 12V/42AH( 2Nos) with 10Amps (1 Nos)Charger,0.0,0.0,1703,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
567906750013,Class A Lightening Protection.,0.0,0.0,1544,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
569001170012,CURRENT REGULATOR (CR),0.0,0.0,1662,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
567906810010,WEB Detector 710P ( CEL ),0.0,0.0,1681,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
56301704,ROTARY LOCKING TYPE POINT MACHINE GROUND CONNECTION (143mm),0.0,0.0,1580,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
