Inventory_Value_Band,Count,Inventory_Value,Inventory_Domain,Business_Unit,Division,Depot,Snapshot_Date,Pipeline_Version
"< Rs 10,000",377.0,197505.58,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
"Rs 10,000 - 1 Lakh",70.0,3089587.97,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
Rs 1 Lakh - 10 Lakh,68.0,20233607.51,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
Rs 10 Lakh - 1 Crore,27.0,58297069.34,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
>= Rs 1 Crore,0.0,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
