Inventory_Aging_Class,Count,Inventory_Value
Active,202,106147629.35
Monitor,142,163280565.03
Slow Moving,95,33826551.77
Very Slow Moving,232,130351984.54
Dead Stock,190,76283547.78
Unknown,46,2516128.0
